IP;ORG;COUNTRY;ASN;SUBNET
103.106.228.126;ONEPROVIDER-JP2;JP;AS136258;103.106.228.0/24
104.18.32.47;Cloudflare, Inc.;US;-;104.18.32.0/24
109.120.132.142;AEZA GROUP LLC;SE;AS210644;109.120.132.0/24
138.124.100.14;Legacy/Unassigned;NL;-;138.124.100.0/24
138.124.89.112;Legacy/Unassigned;NL;-;138.124.89.0/24
141.98.169.100;WorkTitans B.V.;FI;AS209847;141.98.169.0/24
144.31.131.33;Legacy/Unassigned;NL;-;144.31.131.0/24
144.31.4.110;Legacy/Unassigned;NL;-;144.31.4.0/24
146.185.210.165;Legacy/Unassigned;NL;-;146.185.210.0/24
146.19.24.187;Legacy/Unassigned;NL;-;146.19.24.0/24
152.233.28.198;Legacy/Unassigned;NL;-;152.233.28.0/24
158.160.105.148;Legacy/Unassigned;NL;-;158.160.105.0/24
158.160.110.148;Legacy/Unassigned;NL;-;158.160.110.0/24
158.160.117.157;Legacy/Unassigned;NL;-;158.160.117.0/24
158.160.122.239;Legacy/Unassigned;NL;-;158.160.122.0/24
158.160.124.16;Legacy/Unassigned;NL;-;158.160.124.0/24
158.160.125.198;Legacy/Unassigned;NL;-;158.160.125.0/24
158.160.202.26;Legacy/Unassigned;NL;-;158.160.202.0/24
158.160.211.49;Legacy/Unassigned;NL;-;158.160.211.0/24
158.160.250.111;Legacy/Unassigned;NL;-;158.160.250.0/24
158.160.37.15;Legacy/Unassigned;NL;-;158.160.37.0/24
158.160.37.177;Legacy/Unassigned;NL;-;158.160.37.0/24
158.160.42.252;Legacy/Unassigned;NL;-;158.160.42.0/24
158.160.46.112;Legacy/Unassigned;NL;-;158.160.46.0/24
158.160.96.240;Legacy/Unassigned;NL;-;158.160.96.0/24
158.160.97.228;Legacy/Unassigned;NL;-;158.160.97.0/24
158.160.99.178;Legacy/Unassigned;NL;-;158.160.99.0/24
159.195.70.85;Legacy/Unassigned;NL;-;159.195.70.0/24
176.108.247.44;"Cloud Technologies" LLC trading as Cloud.ru;RU;AS208677;176.108.247.0/24
185.147.27.13;Procloud LLC.;RU;AS34959;185.147.27.0/24
185.147.27.20;Procloud LLC.;RU;AS34959;185.147.27.0/24
185.147.27.64;Procloud LLC.;RU;AS34959;185.147.27.0/24
185.147.27.67;Procloud LLC.;RU;AS34959;185.147.27.0/24
185.156.72.58;GLOBAL CONNECTIVITY SOLUTIONS LLP;FR;AS215540;185.156.72.0/24
185.177.238.40;GLOBAL CONNECTIVITY SOLUTIONS LLP;AL;AS215540;185.177.238.0/24
185.189.46.13;UAB Cherry Servers;SE;as214159;185.189.46.0/24
185.215.184.80;RJ Network OU;EE;AS202759;185.215.184.0/24
185.245.40.110;delta;NL;as215305;185.245.40.0/24
185.91.52.37;SELECTEL-NET;RU;AS49505;185.91.52.0/24
188.130.208.3;Mastersoft S.R.L.;CZ;AS51248;188.130.208.0/24
188.225.82.217;JSC "TIMEWEB";RU;AS9123;188.225.82.0/24
193.178.226.197;Liam Kremer;NL;AS216078;193.178.226.0/24
193.233.217.55;AEZA GROUP LLC;RU;AS216246;193.233.217.0/24
193.233.89.109;AEZA GROUP LLC;RU;AS216246;193.233.89.0/24
205.237.107.160;Legacy/Unassigned;NL;-;205.237.107.0/24
205.237.107.161;Legacy/Unassigned;NL;-;205.237.107.0/24
205.237.107.184;Legacy/Unassigned;NL;-;205.237.107.0/24
205.237.107.185;Legacy/Unassigned;NL;-;205.237.107.0/24
205.237.107.192;Legacy/Unassigned;NL;-;205.237.107.0/24
212.80.7.64;PLAY2GO INTERNATIONAL LIMITED;DE;AS215439;212.80.7.0/24
213.171.26.10;"Cloud Technologies" LLC trading as Cloud.ru;RU;AS208677;213.171.26.0/24
213.176.64.12;NetCrafters OU;NL;AS210644;213.176.64.0/24
213.176.67.169;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.230;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.236;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.237;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.240;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.241;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.242;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.245;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.246;NetCrafters OU;NL;AS210644;213.176.67.0/24
213.176.67.247;NetCrafters OU;NL;AS210644;213.176.67.0/24
217.13.104.213;Rackhost Zrt.;HU;AS210579;217.13.104.0/24
217.13.105.4;Rackhost Zrt.;HU;AS210579;217.13.105.0/24
217.16.24.151;VKCS;RU;AS47764;217.16.24.0/24
217.168.240.172;SELECTEL-NET;RU;AS50340;217.168.240.0/24
37.9.4.147;SELECTEL-NET;RU;AS49505;37.9.4.0/24
37.9.4.5;SELECTEL-NET;RU;AS49505;37.9.4.0/24
45.140.188.110;RoyaleHosting BV;NL;AS212477;45.140.188.0/24
