SUBNET;ISP;ORG;COUNTRY;ASN
103.106.228.0/24;Unknown;Unknown;Unknown;-
109.120.132.0/24;Unknown;Unknown;Unknown;-
138.124.89.0/24;Unknown;Unknown;Unknown;-
141.98.169.0/24;Unknown;Unknown;Unknown;-
144.31.131.0/24;Unknown;Unknown;Unknown;-
152.233.28.0/24;Unknown;Unknown;Unknown;-
155.212.188.0/24;Unknown;Unknown;Unknown;-
158.160.202.0/24;Unknown;Unknown;Unknown;-
159.194.199.0/24;Unknown;Unknown;Unknown;-
159.194.216.0/24;Unknown;Unknown;Unknown;-
159.195.69.0/24;Unknown;Unknown;Unknown;-
185.147.27.0/24;Unknown;Unknown;Unknown;-
185.156.72.0/24;Unknown;Unknown;Unknown;-
185.221.199.0/24;Unknown;Unknown;Unknown;-
188.225.82.0/24;Unknown;Unknown;Unknown;-
193.233.217.0/24;Unknown;Unknown;Unknown;-
205.237.107.0/24;Unknown;Unknown;Unknown;-
213.165.39.0/24;Unknown;Unknown;Unknown;-
213.176.64.0/24;Unknown;Unknown;Unknown;-
213.176.67.0/24;Unknown;Unknown;Unknown;-
217.13.104.0/24;Unknown;Unknown;Unknown;-
217.26.24.0/24;Unknown;Unknown;Unknown;-
5.188.224.0/24;Unknown;Unknown;Unknown;-
5.42.110.0/24;Unknown;Unknown;Unknown;-
5.42.114.0/24;Unknown;Unknown;Unknown;-
51.250.28.0/24;Unknown;Unknown;Unknown;-
51.250.36.0/24;Unknown;Unknown;Unknown;-
51.250.38.0/24;Unknown;Unknown;Unknown;-
51.250.45.0/24;Unknown;Unknown;Unknown;-
72.56.246.0/24;Unknown;Unknown;Unknown;-
72.56.36.0/24;Unknown;Unknown;Unknown;-
72.56.37.0/24;Unknown;Unknown;Unknown;-
85.208.108.0/24;Unknown;Unknown;Unknown;-
90.156.255.0/24;Unknown;Unknown;Unknown;-
93.77.161.0/24;Unknown;Unknown;Unknown;-
94.103.2.0/24;Unknown;Unknown;Unknown;-
95.163.208.0/24;Unknown;Unknown;Unknown;-
